Column3;Column4;Column5;Column6;Column7;Column8
 -1.507191688990256E+07; -1.955030200521295E+08;  4.220636944854409E+05;  2.429454824318512E+01;  1.474558376801456E+01; -7.615791460565182E-01
 -1.506462871579012E+07; -1.954985962475785E+08;  4.218352204576731E+05;  2.429327916702814E+01;  1.474644655694795E+01; -7.615810389750752E-01
 -1.505734092240593E+07; -1.954941721842043E+08;  4.216067458621711E+05;  2.429201005491078E+01;  1.474730925589791E+01; -7.615829307393174E-01
 -1.505005350976077E+07; -1.954897478620339E+08;  4.213782706993371E+05;  2.429074090681996E+01;  1.474817186485960E+01; -7.615848213394072E-01
 -1.504276647786546E+07; -1.954853232810944E+08;  4.211497949694991E+05;  2.428947172274403E+01;  1.474903438382657E+01; -7.615867107663021E-01
 -1.503547982673073E+07; -1.954808984414127E+08;  4.209213186729997E+05;  2.428820250267276E+01;  1.474989681279081E+01; -7.615885990116915E-01
 -1.502819355636746E+07; -1.954764733430157E+08;  4.206928418102264E+05;  2.428693324659731E+01;  1.475075915174298E+01; -7.615904860680249E-01
 -1.502090766678637E+07; -1.954720479859306E+08;  4.204643643814772E+05;  2.428566395451018E+01;  1.475162140067248E+01; -7.615923719284527E-01
 -1.501362215799832E+07; -1.954676223701843E+08;  4.202358863871992E+05;  2.428439462640516E+01;  1.475248355956756E+01; -7.615942565868279E-01
 -1.500633703001416E+07; -1.954631964958039E+08;  4.200074078276455E+05;  2.428312526227732E+01;  1.475334562841544E+01; -7.615961400376570E-01
 -1.499905228284454E+07; -1.954587703628163E+08;  4.197789287032783E+05;  2.428185586212299E+01;  1.475420760720246E+01; -7.615980222761003E-01
 -1.499176791650045E+07; -1.954543439712485E+08;  4.195504490144104E+05;  2.428058642593966E+01;  1.475506949591416E+01; -7.615999032979408E-01
 -1.498448393099263E+07; -1.954499173211277E+08;  4.193219687614292E+05;  2.427931695372600E+01;  1.475593129453534E+01; -7.616017830995636E-01
 -1.497720032633185E+07; -1.954454904124808E+08;  4.190934879446626E+05;  2.427804744548181E+01;  1.475679300305025E+01; -7.616036616779365E-01
 -1.496991710252893E+07; -1.954410632453349E+08;  4.188650065645427E+05;  2.427677790120796E+01;  1.475765462144264E+01; -7.616055390305689E-01
 -1.496263425959468E+07; -1.954366358197170E+08;  4.186365246213824E+05;  2.427550832090639E+01;  1.475851614969582E+01; -7.616074151555132E-01
 -1.495535179754001E+07; -1.954322081356541E+08;  4.184080421155840E+05;  2.427423870458007E+01;  1.475937758779284E+01; -7.616092900513509E-01
 -1.494806971637556E+07; -1.954277801931733E+08;  4.181795590474606E+05;  2.427296905223291E+01;  1.476023893571649E+01; -7.616111637171334E-01
 -1.494078801611224E+07; -1.954233519923017E+08;  4.179510754174739E+05;  2.427169936386980E+01;  1.476110019344942E+01; -7.616130361523821E-01
 -1.493350669676086E+07; -1.954189235330663E+08;  4.177225912259072E+05;  2.427042963949652E+01;  1.476196136097423E+01; -7.616149073570870E-01
