*******************************************************************************
Ephemeris / WWW_USER Fri Apr 20 09:19:19 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Earth (399)                     {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Mar-10 12:00:00.0000 TDB
Stop  time      : A.D. 2018-Mar-20 12:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458188.000000000, A.D. 2018-Mar-10 12:00:00.0000, -1.506372285302716E+07, -1.955010026940793E+08,  4.181142783982456E+05,  2.388525787196297E+01,  1.683723253628148E+01, -4.718281323651903E-01,
2458188.003472222, A.D. 2018-Mar-10 12:05:00.0000, -1.505657691055185E+07, -1.954959567045720E+08,  4.179820795744061E+05,  2.375467493058930E+01,  1.680102910999596E+01, -4.097234401409260E-01,
2458188.006944444, A.D. 2018-Mar-10 12:10:00.0000, -1.504946982641441E+07, -1.954909230705157E+08,  4.178682932938486E+05,  2.362630843910215E+01,  1.675488832143201E+01, -3.491290344948990E-01,
2458188.010416667, A.D. 2018-Mar-10 12:15:00.0000, -1.504240084034932E+07, -1.954859047476905E+08,  4.177724206070751E+05,  2.350079309904686E+01,  1.669898812507630E+01, -2.903499057789443E-01,
2458188.013888889, A.D. 2018-Mar-10 12:20:00.0000, -1.503536900264755E+07, -1.954809046308493E+08,  4.176938718655258E+05,  2.337875645419731E+01,  1.663355756344765E+01, -2.336853667276095E-01,
2458188.017361111, A.D. 2018-Mar-10 12:25:00.0000, -1.502837317693782E+07, -1.954759255383001E+08,  4.176319687409997E+05,  2.326081468368103E+01,  1.655887723749638E+01, -1.794269619070610E-01,
2458188.020833333, A.D. 2018-Mar-10 12:30:00.0000, -1.502141204421282E+07, -1.954709701964612E+08,  4.175859468586445E+05,  2.314756850964291E+01,  1.647527905082887E+01, -1.278564640060909E-01,
2458188.024305556, A.D. 2018-Mar-10 12:35:00.0000, -1.501448410806742E+07, -1.954660412245851E+08,  4.175549590195715E+05,  2.303959920314258E+01,  1.638314534612088E+01, -7.924394401765511E-02,
2458188.027777778, A.D. 2018-Mar-10 12:40:00.0000, -1.500758770112133E+07, -1.954611411198237E+08,  4.175380789922923E+05,  2.293746468741367E+01,  1.628290751411721E+01, -3.384591152937677E-02,
2458188.031250000, A.D. 2018-Mar-10 12:45:00.0000, -1.500072099259442E+07, -1.954562722427817E+08,  4.175343058508188E+05,  2.284169575032929E+01,  1.617504412960413E+01,  8.096471321439758E-03,
